tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021california,Premier,Pool,Sloppy Seconds,Salty Nuts,Travis Core,Gabe Finocchi,Trevor Barbosa,Dylan Bricker,21,13
2021california,Premier,Pool,Sloppy Seconds,Salty Nuts,Travis Core,Gabe Finocchi,Trevor Barbosa,Dylan Bricker,21,16
2021california,Premier,Pool,Wonky Sauce,Ortlip/Berry,Blake Bosak,Justin Plett,Solomon Berry,Matt Ortlip,21,19
2021california,Premier,Pool,Wonky Sauce,Ortlip/Berry,Blake Bosak,Justin Plett,Solomon Berry,Matt Ortlip,18,21
2021california,Premier,Pool,Wonky Sauce,Ortlip/Berry,Blake Bosak,Justin Plett,Solomon Berry,Matt Ortlip,21,13
2021california,Premier,Pool,Double Clutch,Lefty Pull,fredric hinkle,Rahul Murthy,Malachi Espinola,Ryan Slaughter,21,16
2021california,Premier,Pool,Double Clutch,Lefty Pull,fredric hinkle,Rahul Murthy,Malachi Espinola,Ryan Slaughter,21,14
2021california,Premier,Pool,Blue Sky Bagel Club,Box Models,Josh Wheadon,Dennis Joseph,Jordan Caradonna,Michael Hsu,NA,NA
2021california,Premier,Pool,Blue Sky Bagel Club,Box Models,Josh Wheadon,Dennis Joseph,Jordan Caradonna,Michael Hsu,NA,NA
2021california,Premier,Pool,Blue Sky Bagel Club,Box Models,Josh Wheadon,Dennis Joseph,Jordan Caradonna,Michael Hsu,NA,NA
2021california,Premier,Pool,Gold Diggers,Zia,Garrett Hornok,Kyle Ackermann,Daniel Wilson,Slade Warner,21,13
2021california,Premier,Pool,Gold Diggers,Zia,Garrett Hornok,Kyle Ackermann,Daniel Wilson,Slade Warner,21,14
2021california,Premier,Pool,HOOPLA,Chico Atlantic,John Shurance,Schon Siguenza,Tom Rogers,Skyler Boles,8,21
2021california,Premier,Pool,HOOPLA,Chico Atlantic,John Shurance,Schon Siguenza,Tom Rogers,Skyler Boles,14,21
2021california,Premier,Pool,Boysterous,Smith/Young,Caleb Heck,Preston Bies,Bryce Young,Ashton Smith,21,19
2021california,Premier,Pool,Boysterous,Smith/Young,Caleb Heck,Preston Bies,Bryce Young,Ashton Smith,21,14
2021california,Premier,Pool,LMUCLA,Chowey,Carlos Yvellez,Jason Rhoads,Nicolas Dewey,David Gonzales,21,10
2021california,Premier,Pool,LMUCLA,Chowey,Carlos Yvellez,Jason Rhoads,Nicolas Dewey,David Gonzales,21,13
2021california,Premier,Pool,Assistive Touch,Warn-A-Brotha,Clark Marshall,Craig Hammon,Warner Curtis,Marc Baldwin,21,14
2021california,Premier,Pool,Assistive Touch,Warn-A-Brotha,Clark Marshall,Craig Hammon,Warner Curtis,Marc Baldwin,21,17
