"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"2021chicago","Premier","Pool","Double Clutch","GLITCH","Rahul Murthy","fredric hinkle","Luke Nickel","Cody Dryer",21,14
"2021chicago","Premier","Pool","Double Clutch","GLITCH","Rahul Murthy","fredric hinkle","Luke Nickel","Cody Dryer",21,7
"2021chicago","Premier","Pool","Grassy","Big Booty Bumpers","Ryan Marino","Brendan Ferreira","Ethan McWhirter","Josh Weinbach",17,21
"2021chicago","Premier","Pool","Grassy","Big Booty Bumpers","Ryan Marino","Brendan Ferreira","Ethan McWhirter","Josh Weinbach",21,11
"2021chicago","Premier","Pool","Grassy","Big Booty Bumpers","Ryan Marino","Brendan Ferreira","Ethan McWhirter","Josh Weinbach",21,15
"2021chicago","Premier","Pool","Curtain call center","Synthetic","Garrett Hornok","Ryan Gross","Jason Hironimus","Gavin Broekema",21,10
"2021chicago","Premier","Pool","Curtain call center","Synthetic","Garrett Hornok","Ryan Gross","Jason Hironimus","Gavin Broekema",21,19
"2021chicago","Premier","Pool","Tiki Taka","Clubspike Insurgence","Matthew Cole","Luke Marshall","Neal Bergman","Ethan Datwyler",16,21
"2021chicago","Premier","Pool","Tiki Taka","Clubspike Insurgence","Matthew Cole","Luke Marshall","Neal Bergman","Ethan Datwyler",21,16
"2021chicago","Premier","Pool","Tiki Taka","Clubspike Insurgence","Matthew Cole","Luke Marshall","Neal Bergman","Ethan Datwyler",21,14
"2021chicago","Premier","Pool","Sloppy Seconds","Snaxx in my bag","Gabe Finocchi","Travis Core","Seth Searcy","Andrew Christmas",21,15
"2021chicago","Premier","Pool","Sloppy Seconds","Snaxx in my bag","Gabe Finocchi","Travis Core","Seth Searcy","Andrew Christmas",21,14
"2021chicago","Premier","Pool","Lowkey","Bavarian Jersey","Taylor Church","Dawson Morgan","Jakub Popluhar","Connor Prelich",21,17
"2021chicago","Premier","Pool","Lowkey","Bavarian Jersey","Taylor Church","Dawson Morgan","Jakub Popluhar","Connor Prelich",21,16
"2021chicago","Premier","Pool","Trippy Lizard","Short Cakes","Andrew Card","Clark Marshall","Grant Longland","Justin Barr",19,21
"2021chicago","Premier","Pool","Trippy Lizard","Short Cakes","Andrew Card","Clark Marshall","Grant Longland","Justin Barr",21,18
"2021chicago","Premier","Pool","Trippy Lizard","Short Cakes","Andrew Card","Clark Marshall","Grant Longland","Justin Barr",23,25
"2021chicago","Premier","Pool","Dewey Disciples","Hsuper Powers","Kevin Bailey","Thomas Hamilton","Addison Powers","Michael Hsu",21,12
"2021chicago","Premier","Pool","Dewey Disciples","Hsuper Powers","Kevin Bailey","Thomas Hamilton","Addison Powers","Michael Hsu",21,19
"2021chicago","Premier","Pool","Graham/Showalter","WySlammo Zeroes","PJ Showalter","Joel Graham","Jerm Porter","Brian Jennerich",21,13
"2021chicago","Premier","Pool","Graham/Showalter","WySlammo Zeroes","PJ Showalter","Joel Graham","Jerm Porter","Brian Jennerich",21,15
"2021chicago","Premier","Pool","Ritto Boys","Highkey","Coleman Epperson's","Ryder Rivadeneyra","Max Billinghurst","Chandler Hertzler",21,17
"2021chicago","Premier","Pool","Ritto Boys","Highkey","Coleman Epperson's","Ryder Rivadeneyra","Max Billinghurst","Chandler Hertzler",21,18
"2021chicago","Premier","Pool","Ghoul-Aid (Revenge Tour)","Runner’s Up","Kyle Ackermann","Grant Klapwijk","Mitchell Grosteffon","Skyler Sebring",21,16
"2021chicago","Premier","Pool","Ghoul-Aid (Revenge Tour)","Runner’s Up","Kyle Ackermann","Grant Klapwijk","Mitchell Grosteffon","Skyler Sebring",23,21
"2021chicago","Premier","Pool","Outside Smoke","ClubSpike Spidey Senses","Noah Luskus","Grant Laughlin","Nick Daub","Chris Wilkins",19,21
"2021chicago","Premier","Pool","Outside Smoke","ClubSpike Spidey Senses","Noah Luskus","Grant Laughlin","Nick Daub","Chris Wilkins",21,12
"2021chicago","Premier","Pool","Outside Smoke","ClubSpike Spidey Senses","Noah Luskus","Grant Laughlin","Nick Daub","Chris Wilkins",21,11
"2021chicago","Premier","Pool","Double Clutch","Big Booty Bumpers","Rahul Murthy","fredric hinkle","Ethan McWhirter","Josh Weinbach",21,12
"2021chicago","Premier","Pool","Double Clutch","Big Booty Bumpers","Rahul Murthy","fredric hinkle","Ethan McWhirter","Josh Weinbach",21,18
"2021chicago","Premier","Pool","Trash Pandas","GLITCH","ian murphy","Christian Bennett","Luke Nickel","Cody Dryer",18,21
"2021chicago","Premier","Pool","Trash Pandas","GLITCH","ian murphy","Christian Bennett","Luke Nickel","Cody Dryer",21,19
"2021chicago","Premier","Pool","Trash Pandas","GLITCH","ian murphy","Christian Bennett","Luke Nickel","Cody Dryer",21,15
"2021chicago","Premier","Pool","Curtain call center","Clubspike Insurgence","Garrett Hornok","Ryan Gross","Neal Bergman","Ethan Datwyler",24,22
"2021chicago","Premier","Pool","Curtain call center","Clubspike Insurgence","Garrett Hornok","Ryan Gross","Neal Bergman","Ethan Datwyler",22,20
"2021chicago","Premier","Pool","Smash Bros","Synthetic","Derek Johnson","Austin Denny","Jason Hironimus","Gavin Broekema",21,16
"2021chicago","Premier","Pool","Smash Bros","Synthetic","Derek Johnson","Austin Denny","Jason Hironimus","Gavin Broekema",21,15
"2021chicago","Premier","Pool","Sloppy Seconds","Bavarian Jersey","Gabe Finocchi","Travis Core","Jakub Popluhar","Connor Prelich",21,15
"2021chicago","Premier","Pool","Sloppy Seconds","Bavarian Jersey","Gabe Finocchi","Travis Core","Jakub Popluhar","Connor Prelich",21,15
"2021chicago","Premier","Pool","Chowey","Snaxx in my bag","David Gonzales","Nicolas Dewey","Seth Searcy","Andrew Christmas",17,21
"2021chicago","Premier","Pool","Chowey","Snaxx in my bag","David Gonzales","Nicolas Dewey","Seth Searcy","Andrew Christmas",14,21
"2021chicago","Premier","Pool","Trippy Lizard","Hsuper Powers","Andrew Card","Clark Marshall","Addison Powers","Michael Hsu",21,14
"2021chicago","Premier","Pool","Trippy Lizard","Hsuper Powers","Andrew Card","Clark Marshall","Addison Powers","Michael Hsu",24,26
"2021chicago","Premier","Pool","Trippy Lizard","Hsuper Powers","Andrew Card","Clark Marshall","Addison Powers","Michael Hsu",21,14
"2021chicago","Premier","Pool","Dewey Disciples","Short Cakes","Kevin Bailey","Thomas Hamilton","Grant Longland","Justin Barr",21,16
"2021chicago","Premier","Pool","Dewey Disciples","Short Cakes","Kevin Bailey","Thomas Hamilton","Grant Longland","Justin Barr",25,23
"2021chicago","Premier","Pool","Graham/Showalter","Highkey","PJ Showalter","Joel Graham","Max Billinghurst","Chandler Hertzler",22,24
"2021chicago","Premier","Pool","Graham/Showalter","Highkey","PJ Showalter","Joel Graham","Max Billinghurst","Chandler Hertzler",21,7
"2021chicago","Premier","Pool","Graham/Showalter","Highkey","PJ Showalter","Joel Graham","Max Billinghurst","Chandler Hertzler",23,21
"2021chicago","Premier","Pool","Ritto Boys","WySlammo Zeroes","Coleman Epperson's","Ryder Rivadeneyra","Jerm Porter","Brian Jennerich",21,11
"2021chicago","Premier","Pool","Ritto Boys","WySlammo Zeroes","Coleman Epperson's","Ryder Rivadeneyra","Jerm Porter","Brian Jennerich",21,8
"2021chicago","Premier","Pool","Ghoul-Aid (Revenge Tour)","ClubSpike Spidey Senses","Kyle Ackermann","Grant Klapwijk","Nick Daub","Chris Wilkins",21,18
"2021chicago","Premier","Pool","Ghoul-Aid (Revenge Tour)","ClubSpike Spidey Senses","Kyle Ackermann","Grant Klapwijk","Nick Daub","Chris Wilkins",19,21
"2021chicago","Premier","Pool","Ghoul-Aid (Revenge Tour)","ClubSpike Spidey Senses","Kyle Ackermann","Grant Klapwijk","Nick Daub","Chris Wilkins",23,21
"2021chicago","Premier","Pool","Outside Smoke","Runner’s Up","Noah Luskus","Grant Laughlin","Mitchell Grosteffon","Skyler Sebring",21,19
"2021chicago","Premier","Pool","Outside Smoke","Runner’s Up","Noah Luskus","Grant Laughlin","Mitchell Grosteffon","Skyler Sebring",21,14
"2021chicago","Premier","Pool","Double Clutch","Trash Pandas","Rahul Murthy","fredric hinkle","ian murphy","Christian Bennett",21,9
"2021chicago","Premier","Pool","Double Clutch","Trash Pandas","Rahul Murthy","fredric hinkle","ian murphy","Christian Bennett",21,10
"2021chicago","Premier","Pool","Grassy","GLITCH","Ryan Marino","Brendan Ferreira","Luke Nickel","Cody Dryer",21,19
"2021chicago","Premier","Pool","Grassy","GLITCH","Ryan Marino","Brendan Ferreira","Luke Nickel","Cody Dryer",19,21
"2021chicago","Premier","Pool","Grassy","GLITCH","Ryan Marino","Brendan Ferreira","Luke Nickel","Cody Dryer",21,18
"2021chicago","Premier","Pool","Curtain call center","Smash Bros","Garrett Hornok","Ryan Gross","Derek Johnson","Austin Denny",21,13
"2021chicago","Premier","Pool","Curtain call center","Smash Bros","Garrett Hornok","Ryan Gross","Derek Johnson","Austin Denny",21,19
"2021chicago","Premier","Pool","Tiki Taka","Synthetic","Matthew Cole","Luke Marshall","Jason Hironimus","Gavin Broekema",21,18
"2021chicago","Premier","Pool","Tiki Taka","Synthetic","Matthew Cole","Luke Marshall","Jason Hironimus","Gavin Broekema",21,17
"2021chicago","Premier","Pool","Sloppy Seconds","Chowey","Gabe Finocchi","Travis Core","David Gonzales","Nicolas Dewey",21,14
"2021chicago","Premier","Pool","Sloppy Seconds","Chowey","Gabe Finocchi","Travis Core","David Gonzales","Nicolas Dewey",21,19
"2021chicago","Premier","Pool","Lowkey","Snaxx in my bag","Taylor Church","Dawson Morgan","Seth Searcy","Andrew Christmas",21,19
"2021chicago","Premier","Pool","Lowkey","Snaxx in my bag","Taylor Church","Dawson Morgan","Seth Searcy","Andrew Christmas",21,19
"2021chicago","Premier","Pool","Trippy Lizard","Dewey Disciples","Andrew Card","Clark Marshall","Kevin Bailey","Thomas Hamilton",18,21
"2021chicago","Premier","Pool","Trippy Lizard","Dewey Disciples","Andrew Card","Clark Marshall","Kevin Bailey","Thomas Hamilton",21,18
"2021chicago","Premier","Pool","Trippy Lizard","Dewey Disciples","Andrew Card","Clark Marshall","Kevin Bailey","Thomas Hamilton",24,26
"2021chicago","Premier","Pool","Hsuper Powers","Short Cakes","Addison Powers","Michael Hsu","Grant Longland","Justin Barr",21,18
