"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"2021erie","Premier","Pool","Graham/Showalter","Old Line State","Joel Graham","PJ Showalter","Mark Borunda","James Swanson",21,18
"2021erie","Premier","Pool","Graham/Showalter","Old Line State","Joel Graham","PJ Showalter","Mark Borunda","James Swanson",21,16
"2021erie","Premier","Pool","Vascular","Barrel Roll Bros","Noah Luskus","Gabe Finocchi","Derek Johnson","Ezra Dantowitz",21,10
"2021erie","Premier","Pool","Vascular","Barrel Roll Bros","Noah Luskus","Gabe Finocchi","Derek Johnson","Ezra Dantowitz",21,15
"2021erie","Premier","Pool","Kinda Calculated","Volley Llamas","Ryan Marino","Dan Abrams","Joe Bondi","William Picone",15,21
"2021erie","Premier","Pool","Kinda Calculated","Volley Llamas","Ryan Marino","Dan Abrams","Joe Bondi","William Picone",19,21
"2021erie","Premier","Pool","Parallax","DOfus","Kyle Ackermann","Ryan Gross","Connor Prelich","Nate Hopkins",21,9
"2021erie","Premier","Pool","Parallax","DOfus","Kyle Ackermann","Ryan Gross","Connor Prelich","Nate Hopkins",21,11
"2021erie","Premier","Pool","Boobies & doobies","Closed on Sundays","Brandon Spector","Zac Vance","Ian Timan","Brooks Anderson",21,11
"2021erie","Premier","Pool","Boobies & doobies","Closed on Sundays","Brandon Spector","Zac Vance","Ian Timan","Brooks Anderson",21,17
"2021erie","Premier","Pool","Graham/Showalter","Barrel Roll Bros","Joel Graham","PJ Showalter","Derek Johnson","Ezra Dantowitz",21,11
"2021erie","Premier","Pool","Graham/Showalter","Barrel Roll Bros","Joel Graham","PJ Showalter","Derek Johnson","Ezra Dantowitz",22,20
"2021erie","Premier","Pool","Dantowitz | Kaplan","Old Line State","Josh Kaplan","Ben Dantowitz","Mark Borunda","James Swanson",21,15
"2021erie","Premier","Pool","Dantowitz | Kaplan","Old Line State","Josh Kaplan","Ben Dantowitz","Mark Borunda","James Swanson",21,13
"2021erie","Premier","Pool","Kinda Calculated","DOfus","Ryan Marino","Dan Abrams","Connor Prelich","Nate Hopkins",21,13
"2021erie","Premier","Pool","Kinda Calculated","DOfus","Ryan Marino","Dan Abrams","Connor Prelich","Nate Hopkins",21,19
