tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021chicago,Premier,Pool,Double Clutch,GLITCH,NA,NA,NA,NA,21,14
2021chicago,Premier,Pool,Double Clutch,GLITCH,NA,NA,NA,NA,21,7
2021chicago,Premier,Pool,Grassy,Big Booty Bumpers,NA,NA,NA,NA,17,21
2021chicago,Premier,Pool,Grassy,Big Booty Bumpers,NA,NA,NA,NA,21,11
2021chicago,Premier,Pool,Grassy,Big Booty Bumpers,NA,NA,NA,NA,21,15
2021chicago,Premier,Pool,Curtain call center,Synthetic,NA,NA,NA,NA,21,10
2021chicago,Premier,Pool,Curtain call center,Synthetic,NA,NA,NA,NA,21,19
2021chicago,Premier,Pool,Tiki Taka,Clubspike Insurgence,NA,NA,NA,NA,16,21
2021chicago,Premier,Pool,Tiki Taka,Clubspike Insurgence,NA,NA,NA,NA,21,16
2021chicago,Premier,Pool,Tiki Taka,Clubspike Insurgence,NA,NA,NA,NA,21,14
2021chicago,Premier,Pool,Sloppy Seconds,Snaxx in my bag,NA,NA,NA,NA,21,15
2021chicago,Premier,Pool,Sloppy Seconds,Snaxx in my bag,NA,NA,NA,NA,21,14
2021chicago,Premier,Pool,Lowkey,Bavarian Jersey,NA,NA,NA,NA,21,17
2021chicago,Premier,Pool,Lowkey,Bavarian Jersey,NA,NA,NA,NA,21,16
2021chicago,Premier,Pool,Trippy Lizard,Short Cakes,NA,NA,NA,NA,19,21
2021chicago,Premier,Pool,Trippy Lizard,Short Cakes,NA,NA,NA,NA,21,18
2021chicago,Premier,Pool,Trippy Lizard,Short Cakes,NA,NA,NA,NA,23,25
2021chicago,Premier,Pool,Dewey Disciples,Hsuper Powers,NA,NA,NA,NA,21,12
2021chicago,Premier,Pool,Dewey Disciples,Hsuper Powers,NA,NA,NA,NA,21,19
2021chicago,Premier,Pool,Graham/Showalter,WySlammo Zeroes,NA,NA,NA,NA,21,13
2021chicago,Premier,Pool,Graham/Showalter,WySlammo Zeroes,NA,NA,NA,NA,21,15
2021chicago,Premier,Pool,Ritto Boys,Highkey,NA,NA,NA,NA,21,17
2021chicago,Premier,Pool,Ritto Boys,Highkey,NA,NA,NA,NA,21,18
2021chicago,Premier,Pool,Ghoul-Aid (Revenge Tour),Runnerís Up,NA,NA,NA,NA,21,16
2021chicago,Premier,Pool,Ghoul-Aid (Revenge Tour),Runnerís Up,NA,NA,NA,NA,23,21
2021chicago,Premier,Pool,Outside Smoke,ClubSpike Spidey Senses,NA,NA,NA,NA,19,21
2021chicago,Premier,Pool,Outside Smoke,ClubSpike Spidey Senses,NA,NA,NA,NA,21,12
2021chicago,Premier,Pool,Outside Smoke,ClubSpike Spidey Senses,NA,NA,NA,NA,21,11
2021chicago,Premier,Pool,Double Clutch,Big Booty Bumpers,NA,NA,NA,NA,21,12
2021chicago,Premier,Pool,Double Clutch,Big Booty Bumpers,NA,NA,NA,NA,21,18
2021chicago,Premier,Pool,Trash Pandas,GLITCH,NA,NA,NA,NA,18,21
2021chicago,Premier,Pool,Trash Pandas,GLITCH,NA,NA,NA,NA,21,19
2021chicago,Premier,Pool,Trash Pandas,GLITCH,NA,NA,NA,NA,21,15
2021chicago,Premier,Pool,Curtain call center,Clubspike Insurgence,NA,NA,NA,NA,24,22
2021chicago,Premier,Pool,Curtain call center,Clubspike Insurgence,NA,NA,NA,NA,22,20
2021chicago,Premier,Pool,Smash Bros,Synthetic,NA,NA,NA,NA,21,16
2021chicago,Premier,Pool,Smash Bros,Synthetic,NA,NA,NA,NA,21,15
2021chicago,Premier,Pool,Sloppy Seconds,Bavarian Jersey,NA,NA,NA,NA,21,15
2021chicago,Premier,Pool,Sloppy Seconds,Bavarian Jersey,NA,NA,NA,NA,21,15
2021chicago,Premier,Pool,Chowey,Snaxx in my bag,NA,NA,NA,NA,17,21
2021chicago,Premier,Pool,Chowey,Snaxx in my bag,NA,NA,NA,NA,14,21
2021chicago,Premier,Pool,Trippy Lizard,Hsuper Powers,NA,NA,NA,NA,21,14
2021chicago,Premier,Pool,Trippy Lizard,Hsuper Powers,NA,NA,NA,NA,24,26
2021chicago,Premier,Pool,Trippy Lizard,Hsuper Powers,NA,NA,NA,NA,21,14
2021chicago,Premier,Pool,Dewey Disciples,Short Cakes,NA,NA,NA,NA,21,16
2021chicago,Premier,Pool,Dewey Disciples,Short Cakes,NA,NA,NA,NA,25,23
2021chicago,Premier,Pool,Graham/Showalter,Highkey,NA,NA,NA,NA,22,24
2021chicago,Premier,Pool,Graham/Showalter,Highkey,NA,NA,NA,NA,21,7
2021chicago,Premier,Pool,Graham/Showalter,Highkey,NA,NA,NA,NA,23,21
2021chicago,Premier,Pool,Ritto Boys,WySlammo Zeroes,NA,NA,NA,NA,21,11
2021chicago,Premier,Pool,Ritto Boys,WySlammo Zeroes,NA,NA,NA,NA,21,8
2021chicago,Premier,Pool,Ghoul-Aid (Revenge Tour),ClubSpike Spidey Senses,NA,NA,NA,NA,21,18
2021chicago,Premier,Pool,Ghoul-Aid (Revenge Tour),ClubSpike Spidey Senses,NA,NA,NA,NA,19,21
2021chicago,Premier,Pool,Ghoul-Aid (Revenge Tour),ClubSpike Spidey Senses,NA,NA,NA,NA,23,21
2021chicago,Premier,Pool,Outside Smoke,Runnerís Up,NA,NA,NA,NA,21,19
2021chicago,Premier,Pool,Outside Smoke,Runnerís Up,NA,NA,NA,NA,21,14
2021chicago,Premier,Pool,Double Clutch,Trash Pandas,NA,NA,NA,NA,21,9
2021chicago,Premier,Pool,Double Clutch,Trash Pandas,NA,NA,NA,NA,21,10
2021chicago,Premier,Pool,Grassy,GLITCH,NA,NA,NA,NA,21,19
2021chicago,Premier,Pool,Grassy,GLITCH,NA,NA,NA,NA,19,21
2021chicago,Premier,Pool,Grassy,GLITCH,NA,NA,NA,NA,21,18
2021chicago,Premier,Pool,Curtain call center,Smash Bros,NA,NA,NA,NA,21,13
2021chicago,Premier,Pool,Curtain call center,Smash Bros,NA,NA,NA,NA,21,19
2021chicago,Premier,Pool,Tiki Taka,Synthetic,NA,NA,NA,NA,21,18
2021chicago,Premier,Pool,Tiki Taka,Synthetic,NA,NA,NA,NA,21,17
2021chicago,Premier,Pool,Sloppy Seconds,Chowey,NA,NA,NA,NA,21,14
2021chicago,Premier,Pool,Sloppy Seconds,Chowey,NA,NA,NA,NA,21,19
2021chicago,Premier,Pool,Lowkey,Snaxx in my bag,NA,NA,NA,NA,21,19
2021chicago,Premier,Pool,Lowkey,Snaxx in my bag,NA,NA,NA,NA,21,19
2021chicago,Premier,Pool,Trippy Lizard,Dewey Disciples,NA,NA,NA,NA,18,21
2021chicago,Premier,Pool,Trippy Lizard,Dewey Disciples,NA,NA,NA,NA,21,18
2021chicago,Premier,Pool,Trippy Lizard,Dewey Disciples,NA,NA,NA,NA,24,26
2021chicago,Premier,Pool,Hsuper Powers,Short Cakes,NA,NA,NA,NA,21,18
2021chicago,Premier,Pool,Hsuper Powers,Short Cakes,NA,NA,NA,NA,13,21
2021chicago,Premier,Pool,Hsuper Powers,Short Cakes,NA,NA,NA,NA,21,11
2021chicago,Premier,Pool,Graham/Showalter,Ritto Boys,NA,NA,NA,NA,16,21
2021chicago,Premier,Pool,Graham/Showalter,Ritto Boys,NA,NA,NA,NA,15,21
2021chicago,Premier,Pool,Highkey,WySlammo Zeroes,NA,NA,NA,NA,21,16
2021chicago,Premier,Pool,Highkey,WySlammo Zeroes,NA,NA,NA,NA,25,23
2021chicago,Premier,Pool,Ghoul-Aid (Revenge Tour),Outside Smoke,NA,NA,NA,NA,21,18
2021chicago,Premier,Pool,Ghoul-Aid (Revenge Tour),Outside Smoke,NA,NA,NA,NA,21,16
2021chicago,Premier,Pool,ClubSpike Spidey Senses,Runnerís Up,NA,NA,NA,NA,16,21
2021chicago,Premier,Pool,ClubSpike Spidey Senses,Runnerís Up,NA,NA,NA,NA,21,15
2021chicago,Premier,Pool,ClubSpike Spidey Senses,Runnerís Up,NA,NA,NA,NA,21,19
2021chicago,Premier,Pool,Grassy,Trash Pandas,NA,NA,NA,NA,21,15
2021chicago,Premier,Pool,Grassy,Trash Pandas,NA,NA,NA,NA,21,18
2021chicago,Premier,Pool,Big Booty Bumpers,GLITCH,NA,NA,NA,NA,21,18
2021chicago,Premier,Pool,Big Booty Bumpers,GLITCH,NA,NA,NA,NA,25,24
2021chicago,Premier,Pool,Tiki Taka,Smash Bros,NA,NA,NA,NA,21,19
2021chicago,Premier,Pool,Tiki Taka,Smash Bros,NA,NA,NA,NA,20,22
2021chicago,Premier,Pool,Tiki Taka,Smash Bros,NA,NA,NA,NA,21,16
2021chicago,Premier,Pool,Clubspike Insurgence,Synthetic,NA,NA,NA,NA,21,17
2021chicago,Premier,Pool,Clubspike Insurgence,Synthetic,NA,NA,NA,NA,21,16
2021chicago,Premier,Pool,Lowkey,Chowey,NA,NA,NA,NA,21,7
2021chicago,Premier,Pool,Lowkey,Chowey,NA,NA,NA,NA,21,12
2021chicago,Premier,Pool,Bavarian Jersey,Snaxx in my bag,NA,NA,NA,NA,21,23
2021chicago,Premier,Pool,Bavarian Jersey,Snaxx in my bag,NA,NA,NA,NA,19,21
2021chicago,Premier,Pool,Double Clutch,Grassy,NA,NA,NA,NA,21,14
2021chicago,Premier,Pool,Double Clutch,Grassy,NA,NA,NA,NA,21,10
2021chicago,Premier,Pool,Trash Pandas,Big Booty Bumpers,NA,NA,NA,NA,12,21
2021chicago,Premier,Pool,Trash Pandas,Big Booty Bumpers,NA,NA,NA,NA,13,21
2021chicago,Premier,Pool,Curtain call center,Tiki Taka,NA,NA,NA,NA,21,23
2021chicago,Premier,Pool,Curtain call center,Tiki Taka,NA,NA,NA,NA,20,22
2021chicago,Premier,Pool,Smash Bros,Clubspike Insurgence,NA,NA,NA,NA,16,21
2021chicago,Premier,Pool,Smash Bros,Clubspike Insurgence,NA,NA,NA,NA,21,18
2021chicago,Premier,Pool,Smash Bros,Clubspike Insurgence,NA,NA,NA,NA,21,19
2021chicago,Premier,Pool,Sloppy Seconds,Lowkey,NA,NA,NA,NA,16,21
2021chicago,Premier,Pool,Sloppy Seconds,Lowkey,NA,NA,NA,NA,21,14
2021chicago,Premier,Pool,Sloppy Seconds,Lowkey,NA,NA,NA,NA,21,15
2021chicago,Premier,Pool,Chowey,Bavarian Jersey,NA,NA,NA,NA,16,21
