"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"2021nationals","Pro","Pool","Sloppy Seconds","Gold Diggers","Gabe Finocchi","Travis Core","Garrett Hornok","Kyle Ackermann",21,18
"2021nationals","Pro","Pool","Sloppy Seconds","Gold Diggers","Gabe Finocchi","Travis Core","Garrett Hornok","Kyle Ackermann",21,19
"2021nationals","Pro","Pool","Outside Smoke","Gross eggs and Ham","Noah Luskus","Grant Laughlin","Ryan Gross","Thomas Hamilton",21,16
"2021nationals","Pro","Pool","Outside Smoke","Gross eggs and Ham","Noah Luskus","Grant Laughlin","Ryan Gross","Thomas Hamilton",24,22
"2021nationals","Pro","Pool","Double Clutch","Tiki Taka","Fredric Hinkle","Rahul Murthy","Luke Marshall","Matthew Cole",21,15
"2021nationals","Pro","Pool","Double Clutch","Tiki Taka","Fredric Hinkle","Rahul Murthy","Luke Marshall","Matthew Cole",21,17
"2021nationals","Pro","Pool","WySpike Toxicity","Hilltop Spikes","Luke Mowry","David Louis","Max Model","Cole Model",21,17
"2021nationals","Pro","Pool","WySpike Toxicity","Hilltop Spikes","Luke Mowry","David Louis","Max Model","Cole Model",19,21
"2021nationals","Pro","Pool","WySpike Toxicity","Hilltop Spikes","Luke Mowry","David Louis","Max Model","Cole Model",17,21
"2021nationals","Pro","Pool","Assistive Touch","Foote / Oswalt","Craig Hammon","Clark Marshall","Ryan Oswalt","Warren Foote",21,17
"2021nationals","Pro","Pool","Assistive Touch","Foote / Oswalt","Craig Hammon","Clark Marshall","Ryan Oswalt","Warren Foote",21,18
"2021nationals","Pro","Pool","Knotty","Volley Llamas","Jarratt Rouse","Ryan Fitzgerald","William Picone","Joe Bondi",16,21
"2021nationals","Pro","Pool","Knotty","Volley Llamas","Jarratt Rouse","Ryan Fitzgerald","William Picone","Joe Bondi",16,21
"2021nationals","Pro","Pool","Ritto Boys","Graham/Showalter","Coleman Epperson","Ryder Rivadeneryra","Joel Graham","PJ Showalter",21,16
"2021nationals","Pro","Pool","Ritto Boys","Graham/Showalter","Coleman Epperson","Ryder Rivadeneryra","Joel Graham","PJ Showalter",21,11
"2021nationals","Pro","Pool","Lowkey","Boysterous","Dawson Morgan","Taylor Church","Preston Bies","Caleb Heck",19,21
"2021nationals","Pro","Pool","Lowkey","Boysterous","Dawson Morgan","Taylor Church","Preston Bies","Caleb Heck",21,17
"2021nationals","Pro","Pool","Lowkey","Boysterous","Dawson Morgan","Taylor Church","Preston Bies","Caleb Heck",22,20
"2021nationals","Pro","Pool","Sloppy Seconds","Gross eggs and Ham","Gabe Finocchi","Travis Core","Ryan Gross","Thomas Hamilton",21,13
"2021nationals","Pro","Pool","Sloppy Seconds","Gross eggs and Ham","Gabe Finocchi","Travis Core","Ryan Gross","Thomas Hamilton",16,21
"2021nationals","Pro","Pool","Sloppy Seconds","Gross eggs and Ham","Gabe Finocchi","Travis Core","Ryan Gross","Thomas Hamilton",21,19
"2021nationals","Pro","Pool","Outside Smoke","Gold Diggers","Noah Luskus","Grant Laughlin","Garrett Hornok","Kyle Ackermann",13,21
"2021nationals","Pro","Pool","Outside Smoke","Gold Diggers","Noah Luskus","Grant Laughlin","Garrett Hornok","Kyle Ackermann",25,27
"2021nationals","Pro","Pool","Double Clutch","Hilltop Spikes","Fredric Hinkle","Rahul Murthy","Max Model","Cole Model",0,-1
"2021nationals","Pro","Pool","Double Clutch","Hilltop Spikes","Fredric Hinkle","Rahul Murthy","Max Model","Cole Model",0,-1
"2021nationals","Pro","Pool","WySpike Toxicity","Tiki Taka","Luke Mowry","David Louis","Luke Marshall","Matthew Cole",18,21
"2021nationals","Pro","Pool","WySpike Toxicity","Tiki Taka","Luke Mowry","David Louis","Luke Marshall","Matthew Cole",15,21
"2021nationals","Pro","Pool","Assistive Touch","Volley Llamas","Craig Hammon","Clark Marshall","William Picone","Joe Bondi",18,21
"2021nationals","Pro","Pool","Assistive Touch","Volley Llamas","Craig Hammon","Clark Marshall","William Picone","Joe Bondi",21,18
"2021nationals","Pro","Pool","Assistive Touch","Volley Llamas","Craig Hammon","Clark Marshall","William Picone","Joe Bondi",20,22
"2021nationals","Pro","Pool","Knotty","Foote / Oswalt","Jarratt Rouse","Ryan Fitzgerald","Ryan Oswalt","Warren Foote",19,21
"2021nationals","Pro","Pool","Knotty","Foote / Oswalt","Jarratt Rouse","Ryan Fitzgerald","Ryan Oswalt","Warren Foote",16,21
"2021nationals","Pro","Pool","Ritto Boys","Boysterous","Coleman Epperson","Ryder Rivadeneryra","Preston Bies","Caleb Heck",21,17
"2021nationals","Pro","Pool","Ritto Boys","Boysterous","Coleman Epperson","Ryder Rivadeneryra","Preston Bies","Caleb Heck",21,17
"2021nationals","Pro","Pool","Lowkey","Graham/Showalter","Dawson Morgan","Taylor Church","Joel Graham","PJ Showalter",21,19
"2021nationals","Pro","Pool","Lowkey","Graham/Showalter","Dawson Morgan","Taylor Church","Joel Graham","PJ Showalter",21,13
"2021nationals","Pro","Pool","Sloppy Seconds","Outside Smoke","Gabe Finocchi","Travis Core","Noah Luskus","Grant Laughlin",21,18
"2021nationals","Pro","Pool","Sloppy Seconds","Outside Smoke","Gabe Finocchi","Travis Core","Noah Luskus","Grant Laughlin",24,22
"2021nationals","Pro","Pool","Gross eggs and Ham","Gold Diggers","Ryan Gross","Thomas Hamilton","Garrett Hornok","Kyle Ackermann",1,0
"2021nationals","Pro","Pool","Gross eggs and Ham","Gold Diggers","Ryan Gross","Thomas Hamilton","Garrett Hornok","Kyle Ackermann",0,1
"2021nationals","Pro","Pool","Gross eggs and Ham","Gold Diggers","Ryan Gross","Thomas Hamilton","Garrett Hornok","Kyle Ackermann",0,1
"2021nationals","Pro","Pool","Double Clutch","WySpike Toxicity","Fredric Hinkle","Rahul Murthy","Luke Mowry","David Louis",21,16
"2021nationals","Pro","Pool","Double Clutch","WySpike Toxicity","Fredric Hinkle","Rahul Murthy","Luke Mowry","David Louis",21,13
"2021nationals","Pro","Pool","Hilltop Spikes","Tiki Taka","Max Model","Cole Model","Luke Marshall","Matthew Cole",-1,0
"2021nationals","Pro","Pool","Hilltop Spikes","Tiki Taka","Max Model","Cole Model","Luke Marshall","Matthew Cole",-1,0
"2021nationals","Pro","Pool","Assistive Touch","Knotty","Craig Hammon","Clark Marshall","Jarratt Rouse","Ryan Fitzgerald",21,18
"2021nationals","Pro","Pool","Assistive Touch","Knotty","Craig Hammon","Clark Marshall","Jarratt Rouse","Ryan Fitzgerald",21,14
"2021nationals","Pro","Pool","Volley Llamas","Foote / Oswalt","William Picone","Joe Bondi","Ryan Oswalt","Warren Foote",21,11
"2021nationals","Pro","Pool","Volley Llamas","Foote / Oswalt","William Picone","Joe Bondi","Ryan Oswalt","Warren Foote",18,21
"2021nationals","Pro","Pool","Volley Llamas","Foote / Oswalt","William Picone","Joe Bondi","Ryan Oswalt","Warren Foote",19,21
"2021nationals","Pro","Pool","Ritto Boys","Lowkey","Coleman Epperson","Ryder Rivadeneryra","Dawson Morgan","Taylor Church",21,17
"2021nationals","Pro","Pool","Ritto Boys","Lowkey","Coleman Epperson","Ryder Rivadeneryra","Dawson Morgan","Taylor Church",21,17
"2021nationals","Pro","Pool","Boysterous","Graham/Showalter","Preston Bies","Caleb Heck","Joel Graham","PJ Showalter",19,21
"2021nationals","Pro","Pool","Boysterous","Graham/Showalter","Preston Bies","Caleb Heck","Joel Graham","PJ Showalter",21,17
"2021nationals","Pro","Pool","Boysterous","Graham/Showalter","Preston Bies","Caleb Heck","Joel Graham","PJ Showalter",21,17
"2021nationals","Premier","Pool","Hand of God","Evasive Maneuvers","Austin Rawlings","Chandler Hertzler","Michael Barkman","Jenson Miller",21,12
"2021nationals","Premier","Pool","Parahooters","Pickle Juice","Ryan Baillargeon","Dylan East","Kieran Rose","Jake Heidman",21,16
"2021nationals","Premier","Pool","China Moon","Uno Reverse","Kevin McClain","Connor Prelich","Trevor Clements","Benjamin Goldfarb",15,21
"2021nationals","Premier","Pool","ClubSpike Spidey Senses","Last Minute","Nick Daub","Chris Wilkins","Marlon Fleming","AJ Hutchinson",21,16
"2021nationals","Premier","Pool","Trash Pandas","Average Joe’s","Christian Bennett","ian murphy","Chris Brown","Ben Pernfuss",21,18
"2021nationals","Premier","Pool","Alaskan bull worms","Saint and Slade","Connor Harte","Sean Brown","Slade Warner","Ryan St. Denis",17,21
"2021nationals","Premier","Pool","Boles/Cornelius","Glizzy Gladiators","Skyler Boles","Logan Cornelius","Polk Denmark","Jacob Summers",22,20
"2021nationals","Premier","Pool","Los & Len","Sports and Reilly","Carlos Yvellez","Allen Iwamoto","Reilly Paquette","Jackson Brasfield",21,16
"2021nationals","Premier","Pool","MT3","Old Line State","Chase Meyer","bradley thompson","James Swanson","Mark Borunda",21,14
"2021nationals","Premier","Pool","Spicy Tuna Roll","Creech & Dom","Daniel McPartland","Ezra Dantowitz","Ethan Domster","Isaiah Balter",21,16
"2021nationals","Premier","Pool","Bull City","Boost","Anthony Daming","Juan Ruiz-Delgado","Alex Luc","Charlie Freeman",21,19
"2021nationals","Premier","Pool","It's Ben's Birthday","Pocket Rockets","Ian Slattery","Benjamin Bunze","Nick Mesa","Donald Fung",13,21
"2021nationals","Premier","Pool","Cucumbarr","PPM","Caleb Cummings","Justin Barr","Ashton Smith","Devin Tuttle",21,15
"2021nationals","Premier","Pool","Meniscus","RAAAAAA","Dan Bonowski","Nate Hopkins","Brayden Latham","Andrew Gunter",21,18
"2021nationals","Premier","Pool","3 Meter Set","Runner’s Up","Marc Etienne McLaughlin","Olivier Laurin","Skyler Sebring","Mitchell Grosteffon",21,17
"2021nationals","Premier","Pool","Moonsmoke","Waffle House","Dylan Keen","Brian Childs","Stephen Jones","Owen Lippman",21,18
"2021nationals","Premier","Pool","Texas Sucks","Matrix Reactor","Dean Wasil","Andrew Kosche","Jack Granger","Sully Woodlee",25,23
"2021nationals","Premier","Pool","Enraged Princes","505 x 805","Tommy Drake","Nick Noguez","Luke Freimanis","Archie Powell",21,13
"2021nationals","Premier","Pool","Red Flag","Cut the Cheese","Emerson Dean","Ryan Marino","Kurt Lannetti","Samuel Corey",21,18
"2021nationals","Premier","Pool","Coast2Coast Dab Up","GLITCH","Artie Singer","Jacob Martinez","Cody Dryer","Luke Nickel",21,17
"2021nationals","Premier","Pool","Western Grebes","Funness","Jake Howhannesian","Lucas Pruett","Dennis Joseph","Jake Goodnow",14,21
"2021nationals","Premier","Pool","LaRoofas Flooding","Closed on Sundays","Hayden Flood","Joe LaRuffa","Ian Timan","Brooks Anderson",21,17
"2021nationals","Premier","Pool","ClubSpike Insurgence","The Diamond Dogs","Ethan Datwyler","Neal Bergman","Reid Pfutzenreuter","Bennett Anderson",21,17
"2021nationals","Premier","Pool","Macho Mango","Virginia Beach Roundnet","Liam Sherron","Max Billinghurst","Caleb Brock","James Mitchum",17,21
"2021nationals","Premier","Pool","Hand of God","Pickle Juice","Austin Rawlings","Chandler Hertzler","Kieran Rose","Jake Heidman",21,13
"2021nationals","Premier","Pool","Parahooters","China Moon","Ryan Baillargeon","Dylan East","Kevin McClain","Connor Prelich",21,15
"2021nationals","Premier","Pool","Uno Reverse","Evasive Maneuvers","Trevor Clements","Benjamin Goldfarb","Michael Barkman","Jenson Miller",19,21
"2021nationals","Premier","Pool","ClubSpike Spidey Senses","Average Joe’s","Nick Daub","Chris Wilkins","Chris Brown","Ben Pernfuss",21,8
"2021nationals","Premier","Pool","Trash Pandas","Alaskan bull worms","Christian Bennett","ian murphy","Connor Harte","Sean Brown",21,14
"2021nationals","Premier","Pool","Saint and Slade","Last Minute","Slade Warner","Ryan St. Denis","Marlon Fleming","AJ Hutchinson",25,24
"2021nationals","Premier","Pool","Boles/Cornelius","Sports and Reilly","Skyler Boles","Logan Cornelius","Reilly Paquette","Jackson Brasfield",21,15
"2021nationals","Premier","Pool","Los & Len","MT3","Carlos Yvellez","Allen Iwamoto","Chase Meyer","bradley thompson",20,22
"2021nationals","Premier","Pool","Old Line State","Glizzy Gladiators","James Swanson","Mark Borunda","Polk Denmark","Jacob Summers",14,21
"2021nationals","Premier","Pool","Spicy Tuna Roll","Boost","Daniel McPartland","Ezra Dantowitz","Alex Luc","Charlie Freeman",21,16
"2021nationals","Premier","Pool","Bull City","It's Ben's Birthday","Anthony Daming","Juan Ruiz-Delgado","Ian Slattery","Benjamin Bunze",24,25
"2021nationals","Premier","Pool","Pocket Rockets","Creech & Dom","Nick Mesa","Donald Fung","Ethan Domster","Isaiah Balter",21,14
"2021nationals","Premier","Pool","Cucumbarr","RAAAAAA","Caleb Cummings","Justin Barr","Brayden Latham","Andrew Gunter",21,19
"2021nationals","Premier","Pool","Meniscus","3 Meter Set","Dan Bonowski","Nate Hopkins","Marc Etienne McLaughlin","Olivier Laurin",17,21
"2021nationals","Premier","Pool","Runner’s Up","PPM","Skyler Sebring","Mitchell Grosteffon","Ashton Smith","Devin Tuttle",12,21
"2021nationals","Premier","Pool","Moonsmoke","Matrix Reactor","Dylan Keen","Brian Childs","Jack Granger","Sully Woodlee",21,18
"2021nationals","Premier","Pool","Texas Sucks","Enraged Princes","Dean Wasil","Andrew Kosche","Tommy Drake","Nick Noguez",25,23
"2021nationals","Premier","Pool","505 x 805","Waffle House","Luke Freimanis","Archie Powell","Stephen Jones","Owen Lippman",17,21
"2021nationals","Premier","Pool","Red Flag","GLITCH","Emerson Dean","Ryan Marino","Cody Dryer","Luke Nickel",19,21
"2021nationals","Premier","Pool","Coast2Coast Dab Up","Western Grebes","Artie Singer","Jacob Martinez","Jake Howhannesian","Lucas Pruett",21,15
"2021nationals","Premier","Pool","Funness","Cut the Cheese","Dennis Joseph","Jake Goodnow","Kurt Lannetti","Samuel Corey",21,16
"2021nationals","Premier","Pool","LaRoofas Flooding","The Diamond Dogs","Hayden Flood","Joe LaRuffa","Reid Pfutzenreuter","Bennett Anderson",21,13
"2021nationals","Premier","Pool","ClubSpike Insurgence","Macho Mango","Ethan Datwyler","Neal Bergman","Liam Sherron","Max Billinghurst",21,14
"2021nationals","Premier","Pool","Virginia Beach Roundnet","Closed on Sundays","Caleb Brock","James Mitchum","Ian Timan","Brooks Anderson",15,21
"2021nationals","Premier","Pool","Hand of God","Uno Reverse","Austin Rawlings","Chandler Hertzler","Trevor Clements","Benjamin Goldfarb",21,18
"2021nationals","Premier","Pool","Parahooters","Evasive Maneuvers","Ryan Baillargeon","Dylan East","Michael Barkman","Jenson Miller",21,16
"2021nationals","Premier","Pool","China Moon","Pickle Juice","Kevin McClain","Connor Prelich","Kieran Rose","Jake Heidman",21,18
"2021nationals","Premier","Pool","ClubSpike Spidey Senses","Saint and Slade","Nick Daub","Chris Wilkins","Slade Warner","Ryan St. Denis",23,21
"2021nationals","Premier","Pool","Trash Pandas","Last Minute","Christian Bennett","ian murphy","Marlon Fleming","AJ Hutchinson",21,15
"2021nationals","Premier","Pool","Alaskan bull worms","Average Joe’s","Connor Harte","Sean Brown","Chris Brown","Ben Pernfuss",21,17
"2021nationals","Premier","Pool","Boles/Cornelius","Old Line State","Skyler Boles","Logan Cornelius","James Swanson","Mark Borunda",21,15
"2021nationals","Premier","Pool","Los & Len","Glizzy Gladiators","Carlos Yvellez","Allen Iwamoto","Polk Denmark","Jacob Summers",21,19
"2021nationals","Premier","Pool","MT3","Sports and Reilly","Chase Meyer","bradley thompson","Reilly Paquette","Jackson Brasfield",21,18
"2021nationals","Premier","Pool","Spicy Tuna Roll","Pocket Rockets","Daniel McPartland","Ezra Dantowitz","Nick Mesa","Donald Fung",16,21
"2021nationals","Premier","Pool","Bull City","Creech & Dom","Anthony Daming","Juan Ruiz-Delgado","Ethan Domster","Isaiah Balter",21,13
"2021nationals","Premier","Pool","It's Ben's Birthday","Boost","Ian Slattery","Benjamin Bunze","Alex Luc","Charlie Freeman",18,21
"2021nationals","Premier","Pool","Cucumbarr","Runner’s Up","Caleb Cummings","Justin Barr","Skyler Sebring","Mitchell Grosteffon",21,19
"2021nationals","Premier","Pool","Meniscus","PPM","Dan Bonowski","Nate Hopkins","Ashton Smith","Devin Tuttle",17,21
"2021nationals","Premier","Pool","3 Meter Set","RAAAAAA","Marc Etienne McLaughlin","Olivier Laurin","Brayden Latham","Andrew Gunter",21,18
"2021nationals","Premier","Pool","Moonsmoke","505 x 805","Dylan Keen","Brian Childs","Luke Freimanis","Archie Powell",21,11
"2021nationals","Premier","Pool","Texas Sucks","Waffle House","Dean Wasil","Andrew Kosche","Stephen Jones","Owen Lippman",13,21
"2021nationals","Premier","Pool","Enraged Princes","Matrix Reactor","Tommy Drake","Nick Noguez","Jack Granger","Sully Woodlee",21,18
"2021nationals","Premier","Pool","Red Flag","Funness","Emerson Dean","Ryan Marino","Dennis Joseph","Jake Goodnow",21,10
"2021nationals","Premier","Pool","Coast2Coast Dab Up","Cut the Cheese","Artie Singer","Jacob Martinez","Kurt Lannetti","Samuel Corey",21,10
"2021nationals","Premier","Pool","Western Grebes","GLITCH","Jake Howhannesian","Lucas Pruett","Cody Dryer","Luke Nickel",18,21
"2021nationals","Premier","Pool","LaRoofas Flooding","Virginia Beach Roundnet","Hayden Flood","Joe LaRuffa","Caleb Brock","James Mitchum",21,11
"2021nationals","Premier","Pool","ClubSpike Insurgence","Closed on Sundays","Ethan Datwyler","Neal Bergman","Ian Timan","Brooks Anderson",21,19
"2021nationals","Premier","Pool","Macho Mango","The Diamond Dogs","Liam Sherron","Max Billinghurst","Reid Pfutzenreuter","Bennett Anderson",14,21
"2021nationals","Premier","Pool","Hand of God","China Moon","Austin Rawlings","Chandler Hertzler","Kevin McClain","Connor Prelich",16,21
"2021nationals","Premier","Pool","Parahooters","Uno Reverse","Ryan Baillargeon","Dylan East","Trevor Clements","Benjamin Goldfarb",15,21
"2021nationals","Premier","Pool","Pickle Juice","Evasive Maneuvers","Kieran Rose","Jake Heidman","Michael Barkman","Jenson Miller",14,21
"2021nationals","Premier","Pool","ClubSpike Spidey Senses","Alaskan bull worms","Nick Daub","Chris Wilkins","Connor Harte","Sean Brown",21,16
"2021nationals","Premier","Pool","Trash Pandas","Saint and Slade","Christian Bennett","ian murphy","Slade Warner","Ryan St. Denis",21,23
"2021nationals","Premier","Pool","Average Joe’s","Last Minute","Chris Brown","Ben Pernfuss","Marlon Fleming","AJ Hutchinson",25,24
"2021nationals","Premier","Pool","Boles/Cornelius","MT3","Skyler Boles","Logan Cornelius","Chase Meyer","bradley thompson",17,21
"2021nationals","Premier","Pool","Los & Len","Old Line State","Carlos Yvellez","Allen Iwamoto","James Swanson","Mark Borunda",21,16
"2021nationals","Premier","Pool","Sports and Reilly","Glizzy Gladiators","Reilly Paquette","Jackson Brasfield","Polk Denmark","Jacob Summers",21,11
"2021nationals","Premier","Pool","Spicy Tuna Roll","It's Ben's Birthday","Daniel McPartland","Ezra Dantowitz","Ian Slattery","Benjamin Bunze",21,15
"2021nationals","Premier","Pool","Bull City","Pocket Rockets","Anthony Daming","Juan Ruiz-Delgado","Nick Mesa","Donald Fung",24,25
"2021nationals","Premier","Pool","Boost","Creech & Dom","Alex Luc","Charlie Freeman","Ethan Domster","Isaiah Balter",19,21
"2021nationals","Premier","Pool","Cucumbarr","3 Meter Set","Caleb Cummings","Justin Barr","Marc Etienne McLaughlin","Olivier Laurin",21,16
"2021nationals","Premier","Pool","Meniscus","Runner’s Up","Dan Bonowski","Nate Hopkins","Skyler Sebring","Mitchell Grosteffon",21,14
"2021nationals","Premier","Pool","RAAAAAA","PPM","Brayden Latham","Andrew Gunter","Ashton Smith","Devin Tuttle",16,21
"2021nationals","Premier","Pool","Moonsmoke","Enraged Princes","Dylan Keen","Brian Childs","Tommy Drake","Nick Noguez",18,21
"2021nationals","Premier","Pool","Texas Sucks","505 x 805","Dean Wasil","Andrew Kosche","Luke Freimanis","Archie Powell",24,25
"2021nationals","Premier","Pool","Matrix Reactor","Waffle House","Jack Granger","Sully Woodlee","Stephen Jones","Owen Lippman",19,21
"2021nationals","Premier","Pool","Red Flag","Western Grebes","Emerson Dean","Ryan Marino","Jake Howhannesian","Lucas Pruett",21,17
"2021nationals","Premier","Pool","Coast2Coast Dab Up","Funness","Artie Singer","Jacob Martinez","Dennis Joseph","Jake Goodnow",21,18
"2021nationals","Premier","Pool","GLITCH","Cut the Cheese","Cody Dryer","Luke Nickel","Kurt Lannetti","Samuel Corey",21,12
"2021nationals","Premier","Pool","LaRoofas Flooding","Macho Mango","Hayden Flood","Joe LaRuffa","Liam Sherron","Max Billinghurst",21,15
"2021nationals","Premier","Pool","ClubSpike Insurgence","Virginia Beach Roundnet","Ethan Datwyler","Neal Bergman","Caleb Brock","James Mitchum",21,18
"2021nationals","Premier","Pool","The Diamond Dogs","Closed on Sundays","Reid Pfutzenreuter","Bennett Anderson","Ian Timan","Brooks Anderson",19,21
"2021nationals","Premier","Pool","Hand of God","Parahooters","Austin Rawlings","Chandler Hertzler","Ryan Baillargeon","Dylan East",21,19
"2021nationals","Premier","Pool","China Moon","Evasive Maneuvers","Kevin McClain","Connor Prelich","Michael Barkman","Jenson Miller",18,21
"2021nationals","Premier","Pool","Uno Reverse","Pickle Juice","Trevor Clements","Benjamin Goldfarb","Kieran Rose","Jake Heidman",21,17
"2021nationals","Premier","Pool","ClubSpike Spidey Senses","Trash Pandas","Nick Daub","Chris Wilkins","Christian Bennett","ian murphy",21,17
"2021nationals","Premier","Pool","Alaskan bull worms","Last Minute","Connor Harte","Sean Brown","Marlon Fleming","AJ Hutchinson",23,25
"2021nationals","Premier","Pool","Saint and Slade","Average Joe’s","Slade Warner","Ryan St. Denis","Chris Brown","Ben Pernfuss",21,18
"2021nationals","Premier","Pool","Boles/Cornelius","Los & Len","Skyler Boles","Logan Cornelius","Carlos Yvellez","Allen Iwamoto",16,21
"2021nationals","Premier","Pool","MT3","Glizzy Gladiators","Chase Meyer","bradley thompson","Polk Denmark","Jacob Summers",21,16
"2021nationals","Premier","Pool","Old Line State","Sports and Reilly","James Swanson","Mark Borunda","Reilly Paquette","Jackson Brasfield",16,21
"2021nationals","Premier","Pool","Spicy Tuna Roll","Bull City","Daniel McPartland","Ezra Dantowitz","Anthony Daming","Juan Ruiz-Delgado",21,18
"2021nationals","Premier","Pool","It's Ben's Birthday","Creech & Dom","Ian Slattery","Benjamin Bunze","Ethan Domster","Isaiah Balter",21,19
"2021nationals","Premier","Pool","Pocket Rockets","Boost","Nick Mesa","Donald Fung","Alex Luc","Charlie Freeman",21,15
"2021nationals","Premier","Pool","Cucumbarr","Meniscus","Caleb Cummings","Justin Barr","Dan Bonowski","Nate Hopkins",22,20
"2021nationals","Premier","Pool","3 Meter Set","PPM","Marc Etienne McLaughlin","Olivier Laurin","Ashton Smith","Devin Tuttle",21,11
"2021nationals","Premier","Pool","Runner’s Up","RAAAAAA","Skyler Sebring","Mitchell Grosteffon","Brayden Latham","Andrew Gunter",17,21
"2021nationals","Premier","Pool","Moonsmoke","Texas Sucks","Dylan Keen","Brian Childs","Dean Wasil","Andrew Kosche",21,17
"2021nationals","Premier","Pool","Enraged Princes","Waffle House","Tommy Drake","Nick Noguez","Stephen Jones","Owen Lippman",21,18
"2021nationals","Premier","Pool","505 x 805","Matrix Reactor","Luke Freimanis","Archie Powell","Jack Granger","Sully Woodlee",24,22
"2021nationals","Premier","Pool","Red Flag","Coast2Coast Dab Up","Emerson Dean","Ryan Marino","Artie Singer","Jacob Martinez",21,15
