"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"2021richmond","Premier","Pool","Double Clutch","Bumpin Biscuits","fredric hinkle","Rahul Murthy","Jayson Rhea","Ellis Bass",21,13
"2021richmond","Premier","Pool","Double Clutch","Bumpin Biscuits","fredric hinkle","Rahul Murthy","Jayson Rhea","Ellis Bass",21,17
"2021richmond","Premier","Pool","OJ didn’t do it","Uncrustables","Hayden Flood","Olivia Jenki","Dennis Joseph","Lucas Pruett",18,21
"2021richmond","Premier","Pool","OJ didn’t do it","Uncrustables","Hayden Flood","Olivia Jenki","Dennis Joseph","Lucas Pruett",21,17
"2021richmond","Premier","Pool","OJ didn’t do it","Uncrustables","Hayden Flood","Olivia Jenki","Dennis Joseph","Lucas Pruett",21,17
"2021richmond","Premier","Pool","Long Tan Handsome and Addison","Meniscus","Addison Powers","Gabe Finocchi","Nate Hopkins","Dan Bonowski",21,14
"2021richmond","Premier","Pool","Long Tan Handsome and Addison","Meniscus","Addison Powers","Gabe Finocchi","Nate Hopkins","Dan Bonowski",21,16
"2021richmond","Premier","Pool","LukLeftBal","Dragons of the South","Ethan McWhirter","Matthew Burrows","Chase Meyer","Nick Noguez",18,21
"2021richmond","Premier","Pool","LukLeftBal","Dragons of the South","Ethan McWhirter","Matthew Burrows","Chase Meyer","Nick Noguez",15,21
"2021richmond","Premier","Pool","Smoothies","Google Docs","Garrett Hornok","Joe Bondi","Owen Bass","Andrew Raber",21,14
"2021richmond","Premier","Pool","Smoothies","Google Docs","Garrett Hornok","Joe Bondi","Owen Bass","Andrew Raber",21,14
"2021richmond","Premier","Pool","Grassy","704Tom","Ryan Marino","Brendan Ferreira","Trevor Clements","Tommy Drake",21,19
"2021richmond","Premier","Pool","Grassy","704Tom","Ryan Marino","Brendan Ferreira","Trevor Clements","Tommy Drake",21,17
"2021richmond","Premier","Pool","Gross/Klap","Boost","Ryan Gross","Grant Klapwijk","Charlie Freeman","Alex Luc",21,13
