"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"2021rockhill","Premier","Pool","Boysterous","Hilltop Spikes","Caleb Heck","Preston Bies","Cole Model","Max Model",21,18
"2021rockhill","Premier","Pool","Boysterous","Hilltop Spikes","Caleb Heck","Preston Bies","Cole Model","Max Model",17,21
"2021rockhill","Premier","Pool","Boysterous","Hilltop Spikes","Caleb Heck","Preston Bies","Cole Model","Max Model",21,18
"2021rockhill","Premier","Pool","Outside Smoke","Hsuper Powers","Grant Laughlin","Noah Luskus","Addison Powers","Michael Hsu",21,17
"2021rockhill","Premier","Pool","Outside Smoke","Hsuper Powers","Grant Laughlin","Noah Luskus","Addison Powers","Michael Hsu",17,21
"2021rockhill","Premier","Pool","Outside Smoke","Hsuper Powers","Grant Laughlin","Noah Luskus","Addison Powers","Michael Hsu",21,17
"2021rockhill","Premier","Pool","Lipping Vicarryously","Murphy Mitchum","fredric hinkle","Craig Hammon","James Mitchum","Ian Murphy",21,14
"2021rockhill","Premier","Pool","Lipping Vicarryously","Murphy Mitchum","fredric hinkle","Craig Hammon","James Mitchum","Ian Murphy",21,14
"2021rockhill","Premier","Pool","Bolivia","Confused","Gustavo Gonzales","David Gonzales","Benjamin Bunze","Connor Prelich",16,21
"2021rockhill","Premier","Pool","Bolivia","Confused","Gustavo Gonzales","David Gonzales","Benjamin Bunze","Connor Prelich",17,21
"2021rockhill","Premier","Pool","Mahagony Propane","Trash Pandas","Coleman Epperson's","Garrett Hornok","ian murphy","Christian Bennett",21,17
"2021rockhill","Premier","Pool","Mahagony Propane","Trash Pandas","Coleman Epperson's","Garrett Hornok","ian murphy","Christian Bennett",22,20
"2021rockhill","Premier","Pool","Fizz","Bull City","Clark Marshall","Olivia Jenki","Anthony Daming","Juan Ruiz-Delgado",17,21
"2021rockhill","Premier","Pool","Fizz","Bull City","Clark Marshall","Olivia Jenki","Anthony Daming","Juan Ruiz-Delgado",21,19
"2021rockhill","Premier","Pool","Fizz","Bull City","Clark Marshall","Olivia Jenki","Anthony Daming","Juan Ruiz-Delgado",21,17
"2021rockhill","Premier","Pool","Sloppy Seconds","OJ didn’t do it","Gabe Finocchi","Travis Core","Olivia Jenki","Hayden Flood",21,16
"2021rockhill","Premier","Pool","Sloppy Seconds","OJ didn’t do it","Gabe Finocchi","Travis Core","Olivia Jenki","Hayden Flood",21,11
"2021rockhill","Premier","Pool","Volley Llamas","Grassy","Joe Bondi","William Picone","Brendan Ferreira","Ryan Marino",21,19
"2021rockhill","Premier","Pool","Volley Llamas","Grassy","Joe Bondi","William Picone","Brendan Ferreira","Ryan Marino",21,18
"2021rockhill","Premier","Pool","Boysterous","Hsuper Powers","Caleb Heck","Preston Bies","Addison Powers","Michael Hsu",21,16
"2021rockhill","Premier","Pool","Boysterous","Hsuper Powers","Caleb Heck","Preston Bies","Addison Powers","Michael Hsu",21,14
"2021rockhill","Premier","Pool","Tiki Taka","Hilltop Spikes","Luke Marshall","Matthew Cole","Cole Model","Max Model",16,21
"2021rockhill","Premier","Pool","Tiki Taka","Hilltop Spikes","Luke Marshall","Matthew Cole","Cole Model","Max Model",21,17
"2021rockhill","Premier","Pool","Tiki Taka","Hilltop Spikes","Luke Marshall","Matthew Cole","Cole Model","Max Model",21,17
"2021rockhill","Premier","Pool","Lipping Vicarryously","Confused","fredric hinkle","Craig Hammon","Benjamin Bunze","Connor Prelich",21,14
"2021rockhill","Premier","Pool","Lipping Vicarryously","Confused","fredric hinkle","Craig Hammon","Benjamin Bunze","Connor Prelich",21,16
"2021rockhill","Premier","Pool","Down Bad","Murphy Mitchum","Connor Harte","Patric Chu","James Mitchum","Ian Murphy",21,18
"2021rockhill","Premier","Pool","Down Bad","Murphy Mitchum","Connor Harte","Patric Chu","James Mitchum","Ian Murphy",21,17
"2021rockhill","Premier","Pool","Mahagony Propane","Bull City","Coleman Epperson's","Garrett Hornok","Anthony Daming","Juan Ruiz-Delgado",32,30
"2021rockhill","Premier","Pool","Mahagony Propane","Bull City","Coleman Epperson's","Garrett Hornok","Anthony Daming","Juan Ruiz-Delgado",18,21
"2021rockhill","Premier","Pool","Mahagony Propane","Bull City","Coleman Epperson's","Garrett Hornok","Anthony Daming","Juan Ruiz-Delgado",21,18
"2021rockhill","Premier","Pool","ClubSpike What A Save!!!","Trash Pandas","Chris Wilkins","Ethan Datwyler","ian murphy","Christian Bennett",21,13
"2021rockhill","Premier","Pool","ClubSpike What A Save!!!","Trash Pandas","Chris Wilkins","Ethan Datwyler","ian murphy","Christian Bennett",21,18
"2021rockhill","Premier","Pool","Sloppy Seconds","Grassy","Gabe Finocchi","Travis Core","Brendan Ferreira","Ryan Marino",21,12
"2021rockhill","Premier","Pool","Sloppy Seconds","Grassy","Gabe Finocchi","Travis Core","Brendan Ferreira","Ryan Marino",21,12
"2021rockhill","Premier","Pool","Volley Llamas","OJ didn’t do it","Joe Bondi","William Picone","Olivia Jenki","Hayden Flood",21,16
"2021rockhill","Premier","Pool","Volley Llamas","OJ didn’t do it","Joe Bondi","William Picone","Olivia Jenki","Hayden Flood",21,15
"2021rockhill","Premier","Pool","Boysterous","Tiki Taka","Caleb Heck","Preston Bies","Luke Marshall","Matthew Cole",21,16
"2021rockhill","Premier","Pool","Boysterous","Tiki Taka","Caleb Heck","Preston Bies","Luke Marshall","Matthew Cole",21,17
"2021rockhill","Premier","Pool","Outside Smoke","Hilltop Spikes","Grant Laughlin","Noah Luskus","Cole Model","Max Model",17,21
"2021rockhill","Premier","Pool","Outside Smoke","Hilltop Spikes","Grant Laughlin","Noah Luskus","Cole Model","Max Model",25,27
"2021rockhill","Premier","Pool","Lipping Vicarryously","Down Bad","fredric hinkle","Craig Hammon","Connor Harte","Patric Chu",21,12
"2021rockhill","Premier","Pool","Lipping Vicarryously","Down Bad","fredric hinkle","Craig Hammon","Connor Harte","Patric Chu",21,16
"2021rockhill","Premier","Pool","Bolivia","Murphy Mitchum","Gustavo Gonzales","David Gonzales","James Mitchum","Ian Murphy",13,21
"2021rockhill","Premier","Pool","Bolivia","Murphy Mitchum","Gustavo Gonzales","David Gonzales","James Mitchum","Ian Murphy",21,19
"2021rockhill","Premier","Pool","Bolivia","Murphy Mitchum","Gustavo Gonzales","David Gonzales","James Mitchum","Ian Murphy",18,21
"2021rockhill","Premier","Pool","Mahagony Propane","ClubSpike What A Save!!!","Coleman Epperson's","Garrett Hornok","Chris Wilkins","Ethan Datwyler",21,19
"2021rockhill","Premier","Pool","Mahagony Propane","ClubSpike What A Save!!!","Coleman Epperson's","Garrett Hornok","Chris Wilkins","Ethan Datwyler",21,16
"2021rockhill","Premier","Pool","Fizz","Trash Pandas","Clark Marshall","Olivia Jenki","ian murphy","Christian Bennett",37,35
"2021rockhill","Premier","Pool","Fizz","Trash Pandas","Clark Marshall","Olivia Jenki","ian murphy","Christian Bennett",21,14
"2021rockhill","Premier","Pool","Sloppy Seconds","Volley Llamas","Gabe Finocchi","Travis Core","Joe Bondi","William Picone",21,15
"2021rockhill","Premier","Pool","Sloppy Seconds","Volley Llamas","Gabe Finocchi","Travis Core","Joe Bondi","William Picone",21,17
"2021rockhill","Premier","Pool","Grassy","OJ didn’t do it","Brendan Ferreira","Ryan Marino","Olivia Jenki","Hayden Flood",18,21
"2021rockhill","Premier","Pool","Grassy","OJ didn’t do it","Brendan Ferreira","Ryan Marino","Olivia Jenki","Hayden Flood",21,18
"2021rockhill","Premier","Pool","Grassy","OJ didn’t do it","Brendan Ferreira","Ryan Marino","Olivia Jenki","Hayden Flood",20,22
"2021rockhill","Premier","Pool","Outside Smoke","Tiki Taka","Grant Laughlin","Noah Luskus","Luke Marshall","Matthew Cole",22,20
