"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"2021saltlakecity","Premier","Pool","Finocchurch","Hot Jam","Gabe Finocchi","Taylor Church","Andrew Stevens","Dylan Bricker",21,12
"2021saltlakecity","Premier","Pool","Finocchurch","Hot Jam","Gabe Finocchi","Taylor Church","Andrew Stevens","Dylan Bricker",21,15
"2021saltlakecity","Premier","Pool","Nalgas Grandes","Los & Len","Solomon Berry","Zack Duffy","Carlos Yvellez","Allen Iwamoto",28,30
"2021saltlakecity","Premier","Pool","Nalgas Grandes","Los & Len","Solomon Berry","Zack Duffy","Carlos Yvellez","Allen Iwamoto",19,21
"2021saltlakecity","Premier","Pool","Nalgas Grandes","Los & Len","Solomon Berry","Zack Duffy","Carlos Yvellez","Allen Iwamoto",23,21
"2021saltlakecity","Premier","Pool","Seg Fault","“Carry”","Garrett Hornok","Rahul Murthy","Jalen Butkus","Luke Freimanis",21,16
"2021saltlakecity","Premier","Pool","Seg Fault","“Carry”","Garrett Hornok","Rahul Murthy","Jalen Butkus","Luke Freimanis",21,11
"2021saltlakecity","Premier","Pool","Gucci Synonymous","Da Boy's Bois","Gage Maddox","Tyler Stokes","Warner Curtis","AJ Hutchinson",25,23
"2021saltlakecity","Premier","Pool","Gucci Synonymous","Da Boy's Bois","Gage Maddox","Tyler Stokes","Warner Curtis","AJ Hutchinson",21,16
"2021saltlakecity","Premier","Pool","Trippy Lizard","Sports and Trevor","Clark Marshall","Andrew Card","Trevor Barbosa","Jackson Brasfield",21,18
"2021saltlakecity","Premier","Pool","Trippy Lizard","Sports and Trevor","Clark Marshall","Andrew Card","Trevor Barbosa","Jackson Brasfield",21,16
"2021saltlakecity","Premier","Pool","DO is Trash","WySpike Toxicity","Luke Marshall","Michael Hsu","Luke Mowry","David Louis",16,21
"2021saltlakecity","Premier","Pool","DO is Trash","WySpike Toxicity","Luke Marshall","Michael Hsu","Luke Mowry","David Louis",18,21
"2021saltlakecity","Premier","Pool","Bud N' Boles","Saint and Slade","Skyler Boles","Craig Hammon","Ryan St. Denis","Slade Warner",21,18
"2021saltlakecity","Premier","Pool","Bud N' Boles","Saint and Slade","Skyler Boles","Craig Hammon","Ryan St. Denis","Slade Warner",15,21
"2021saltlakecity","Premier","Pool","Bud N' Boles","Saint and Slade","Skyler Boles","Craig Hammon","Ryan St. Denis","Slade Warner",21,19
"2021saltlakecity","Premier","Pool","The Klondike Bars","Floppy pandas","Chandler Hertzler","Caleb Jarrett","Christian Bennett","Conner Prelich",21,14
"2021saltlakecity","Premier","Pool","The Klondike Bars","Floppy pandas","Chandler Hertzler","Caleb Jarrett","Christian Bennett","Conner Prelich",18,21
"2021saltlakecity","Premier","Pool","The Klondike Bars","Floppy pandas","Chandler Hertzler","Caleb Jarrett","Christian Bennett","Conner Prelich",21,13
"2021saltlakecity","Premier","Pool","Knotty","Ocean Daddies","Jarratt Rouse","Ryan Fitzgerald","Josh Wheadon","Kamden Hundersmarck",21,12
"2021saltlakecity","Premier","Pool","Knotty","Ocean Daddies","Jarratt Rouse","Ryan Fitzgerald","Josh Wheadon","Kamden Hundersmarck",21,11
"2021saltlakecity","Premier","Pool","Outside Smoke","Thirty-Two","Noah Luskus","Grant Laughlin","Matt Ortlip","Ryan Oswalt",26,24
"2021saltlakecity","Premier","Pool","Outside Smoke","Thirty-Two","Noah Luskus","Grant Laughlin","Matt Ortlip","Ryan Oswalt",19,21
"2021saltlakecity","Premier","Pool","Outside Smoke","Thirty-Two","Noah Luskus","Grant Laughlin","Matt Ortlip","Ryan Oswalt",21,17
"2021saltlakecity","Premier","Pool","Lee and Mushi","Left on “Read”<U+0001F620><U+2639><U+FE0F><U+0001F915>","Austin Rawlings","Jacob Payer","Bryce Young","Matt Murray",23,21
"2021saltlakecity","Premier","Pool","Lee and Mushi","Left on “Read”<U+0001F620><U+2639><U+FE0F><U+0001F915>","Austin Rawlings","Jacob Payer","Bryce Young","Matt Murray",21,13
"2021saltlakecity","Premier","Pool","5'6""","Spicy Yogurt","Warren Foote","Kenny Ortega","Ian Golembeski","Kane Rickman",21,17
"2021saltlakecity","Premier","Pool","5'6""","Spicy Yogurt","Warren Foote","Kenny Ortega","Ian Golembeski","Kane Rickman",32,30
"2021saltlakecity","Premier","Pool","Finocchurch","Los & Len","Gabe Finocchi","Taylor Church","Carlos Yvellez","Allen Iwamoto",21,13
"2021saltlakecity","Premier","Pool","Finocchurch","Los & Len","Gabe Finocchi","Taylor Church","Carlos Yvellez","Allen Iwamoto",21,13
"2021saltlakecity","Premier","Pool","Big Al’s and Lil Con’s Great Adventure","Hot Jam","Alex Goates","Connor Winters","Andrew Stevens","Dylan Bricker",20,22
"2021saltlakecity","Premier","Pool","Big Al’s and Lil Con’s Great Adventure","Hot Jam","Alex Goates","Connor Winters","Andrew Stevens","Dylan Bricker",21,18
"2021saltlakecity","Premier","Pool","Big Al’s and Lil Con’s Great Adventure","Hot Jam","Alex Goates","Connor Winters","Andrew Stevens","Dylan Bricker",26,28
"2021saltlakecity","Premier","Pool","Seg Fault","Da Boy's Bois","Garrett Hornok","Rahul Murthy","Warner Curtis","AJ Hutchinson",21,11
"2021saltlakecity","Premier","Pool","Seg Fault","Da Boy's Bois","Garrett Hornok","Rahul Murthy","Warner Curtis","AJ Hutchinson",20,22
"2021saltlakecity","Premier","Pool","Seg Fault","Da Boy's Bois","Garrett Hornok","Rahul Murthy","Warner Curtis","AJ Hutchinson",21,6
"2021saltlakecity","Premier","Pool","Texas Sucks","“Carry”","Andrew Kosche","Dean Wasil","Jalen Butkus","Luke Freimanis",22,24
"2021saltlakecity","Premier","Pool","Texas Sucks","“Carry”","Andrew Kosche","Dean Wasil","Jalen Butkus","Luke Freimanis",21,18
"2021saltlakecity","Premier","Pool","Texas Sucks","“Carry”","Andrew Kosche","Dean Wasil","Jalen Butkus","Luke Freimanis",21,16
"2021saltlakecity","Premier","Pool","Trippy Lizard","WySpike Toxicity","Clark Marshall","Andrew Card","Luke Mowry","David Louis",17,21
"2021saltlakecity","Premier","Pool","Trippy Lizard","WySpike Toxicity","Clark Marshall","Andrew Card","Luke Mowry","David Louis",17,21
"2021saltlakecity","Premier","Pool","DO is Trash","Sports and Trevor","Luke Marshall","Michael Hsu","Trevor Barbosa","Jackson Brasfield",21,19
"2021saltlakecity","Premier","Pool","DO is Trash","Sports and Trevor","Luke Marshall","Michael Hsu","Trevor Barbosa","Jackson Brasfield",21,15
